x y
894.5976624217831 1205.6812210095275
1192.7233090298537 405.5985331296631
792.3067352480723 1400.2779352101445
587.651186257023 1502.236401119374
591.8482308578016 1480.650754560239
997.5818094023415 1301.1123172408497
800.5571219708304 1387.9745930133397
786.9305553561429 1396.158516038819
401.9671011908363 688.2573566303606
597.4041350345008 1495.914450849154
592.4720936728219 1501.2029319984745
906.8393889843314 1201.1424679694037
406.38077189526956 723.3599903962773
400.4478126701029 698.9724298321077
405.29559979339933 706.4425151411365
1210.26019299234 391.1814229085312
780.0899532383298 1387.4264475925218
384.93557587825126 696.5743982793405
1006.2150001908269 1294.4707934773726
291.25300167380067 100.20192431429643
895.8016681806729 1202.4062006548493
1022.2478328249164 1297.901369379668
800.4137194845143 1404.713636182666
581.133186571329 1512.7186235620557
307.5936781707444 112.95020868687914
301.91618875492145 107.66085693192151
400.3922685964215 705.180706509399
882.0189631066793 1199.4098595574928
1005.1007840186036 1306.7076732877883
291.5308598373519 100.73224653744758
595.5139691878483 1486.826323628935
989.03581045864 1309.9896522807896
796.2874610729014 1392.6848859720444
392.9230493340391 698.4974073148252
292.89367920149044 111.46813336580554
615.8468781157281 1508.0682118912914
817.2048016498219 1389.0133619638993
897.3942464914697 1187.748896587227
1007.6616364716689 1295.2475435948077
404.33526933091264 698.1880607781457
1000.7331664035241 1308.6846551787944
1208.000373652354 413.99072266709464
613.7781609532768 1490.8977460211065
307.97532326237564 111.17095436918584
1199.0880246099846 391.76361412383255
282.6899438519802 99.18254107725652
1000.3912045130662 1299.0308601150423
987.7112151793178 1306.890772055316
1204.304527899274 414.2276209462823
300.600230602969 86.68043907904075
912.0681732458905 1206.883921402607
296.58597430067806 108.96655381052418
1193.9081746523052 402.16207435224953
790.4978099929168 1396.5029495960127
592.26902822622 1500.6100042294327
902.0128355370634 1200.487113661546
1195.4804643686718 390.2391971957399
884.6590246405941 1212.0495432936634
905.3511125075169 1204.4968955071631
1205.1954176805589 406.72892317692873
1188.9231779511783 391.4027179672216
292.68117730109765 90.80905896715714
893.3701311761023 1198.0793829133936
392.2160212443167 706.9195580613159
593.0725419621933 1505.9902966200439
793.3420947847615 1395.3705592603746
998.211916258838 1291.4942266121345
807.5645652997109 1412.0063539449347
401.36792285047056 705.349153796519
1197.6697539974157 415.0233448396722
